id,color,x1,y1,x2,y2
0,"(0.09803921568627451, 0.1803921568627451, 0.47058823529411764)",344.1224060058594,978.88232421875,1538.014892578125,111.25981903076172
1,"(0.2980392156862745, 0.6352941176470588, 0.7294117647058823)",344.1224060058594,978.88232421875,1538.014892578125,111.25981903076172
2,"(0.8235294117647058, 0.03137254901960784, 0.7137254901960784)",453.5518493652344,358.2080383300781,711.9481201171875,159.29196166992188
3,"(0.6078431372549019, 0.7294117647058823, 0.13333333333333333)",529.5110473632812,1178.9888916015625,890.9889526367188,1097.9888916015625
4,"(0.5764705882352941, 0.06666666666666667, 0.5411764705882353)",529.5110473632812,1178.9888916015625,890.9889526367188,1097.9888916015625
5,"(0.9686274509803922, 0.1803921568627451, 0.396078431372549)",529.5110473632812,1178.9888916015625,890.9889526367188,1097.9888916015625
6,"(0.7843137254901961, 0.5764705882352941, 0.9294117647058824)",529.5110473632812,1178.9888916015625,890.9889526367188,1097.9888916015625
7,"(0.9098039215686274, 0.09019607843137255, 0.7098039215686275)",529.5110473632812,1178.9888916015625,890.9889526367188,1097.9888916015625
8,"(0.16862745098039217, 0.2980392156862745, 0.15294117647058825)",529.5110473632812,1178.9888916015625,890.9889526367188,1097.9888916015625
9,"(0.3176470588235294, 0.32941176470588235, 0.07058823529411765)",579.93408203125,614.5534057617188,836.5518798828125,877.1719360351562
10,"(0.8980392156862745, 0.30196078431372547, 0.6627450980392157)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
11,"(0.18823529411764706, 0.7411764705882353, 0.3254901960784314)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
12,"(0.07450980392156863, 0.03137254901960784, 0.12941176470588237)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
13,"(0.23529411764705882, 0.596078431372549, 0.7294117647058823)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
14,"(0.9882352941176471, 0.8470588235294118, 0.996078431372549)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
15,"(0.19607843137254902, 0.9607843137254902, 0.592156862745098)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
16,"(0.9529411764705882, 0.5568627450980392, 0.39215686274509803)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
17,"(0.4470588235294118, 0.37254901960784315, 0.8196078431372549)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
18,"(0.11372549019607843, 0.09803921568627451, 0.7137254901960784)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
19,"(0.5450980392156862, 0.24705882352941178, 0.3803921568627451)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
20,"(0.1411764705882353, 0.48627450980392156, 0.9098039215686274)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
21,"(0.9686274509803922, 0.14901960784313725, 0.8745098039215686)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
22,"(0.8274509803921568, 0.00392156862745098, 0.7254901960784313)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
23,"(0.8862745098039215, 0.9137254901960784, 0.24313725490196078)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
24,"(0.7647058823529411, 0.054901960784313725, 0.1411764705882353)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
25,"(0.30196078431372547, 0.36470588235294116, 0.9764705882352941)",767.6370239257812,800.0316162109375,1605.636962890625,494.0316162109375
26,"(0.33725490196078434, 0.41568627450980394, 0.00784313725490196)",963.6483154296875,299.5589294433594,1434.3148193359375,984.6209106445312
27,"(0.19607843137254902, 0.8313725490196079, 0.615686274509804)",963.6483154296875,299.5589294433594,1434.3148193359375,984.6209106445312
28,"(0.11764705882352941, 0.7137254901960784, 0.8862745098039215)",963.6483154296875,299.5589294433594,1434.3148193359375,984.6209106445312
29,"(0.1803921568627451, 0.34901960784313724, 0.807843137254902)",963.6483154296875,299.5589294433594,1434.3148193359375,984.6209106445312
30,"(0.5490196078431373, 0.6666666666666666, 0.10980392156862745)",1102.2401123046875,185.6436309814453,123.9973373413086,219.63504028320312
31,"(0.3254901960784314, 0.8588235294117647, 0.984313725490196)",1102.2401123046875,185.6436309814453,1757.3939208984375,1193.4991455078125
