id,color,x1,y1,x2,y2
0,"(0.5215686274509804, 0.6431372549019608, 0.4117647058823529)",247.8190460205078,167.8190460205078,247.8190460205078,167.8190460205078
1,"(0.15294117647058825, 0.9098039215686274, 0.7137254901960784)",247.8190460205078,167.8190460205078,247.8190460205078,167.8190460205078
2,"(0.08235294117647059, 0.4588235294117647, 0.6627450980392157)",247.8190460205078,167.8190460205078,247.8190460205078,167.8190460205078
3,"(0.5333333333333333, 0.8901960784313725, 0.615686274509804)",247.8190460205078,167.8190460205078,247.8190460205078,167.8190460205078
4,"(0.30196078431372547, 0.6039215686274509, 0.8235294117647058)",247.8190460205078,167.8190460205078,247.8190460205078,167.8190460205078
5,"(0.43529411764705883, 0.3607843137254902, 0.5529411764705883)",247.8190460205078,167.8190460205078,247.8190460205078,167.8190460205078
6,"(0.37254901960784315, 0.48627450980392156, 0.6352941176470588)",247.8190460205078,167.8190460205078,247.8190460205078,167.8190460205078
7,"(0.6039215686274509, 0.8274509803921568, 0.15294117647058825)",247.8190460205078,167.8190460205078,247.8190460205078,167.8190460205078
8,"(0.9019607843137255, 0.9372549019607843, 0.4235294117647059)",247.8190460205078,167.8190460205078,247.8190460205078,167.8190460205078
9,"(0.13725490196078433, 0.9098039215686274, 0.27450980392156865)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
10,"(0.17647058823529413, 0.26666666666666666, 0.7647058823529411)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
11,"(0.6352941176470588, 0.10588235294117647, 0.3686274509803922)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
12,"(0.7529411764705882, 0.32941176470588235, 0.9058823529411765)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
13,"(0.4392156862745098, 0.3686274509803922, 0.5725490196078431)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
14,"(0.6235294117647059, 0.047058823529411764, 0.6627450980392157)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
15,"(0.2549019607843137, 0.5568627450980392, 0.5333333333333333)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
