id,color,x1,y1,x2,y2
36,"(0.1803921568627451, 0.403921568627451, 0.5137254901960784)",1181.92822265625,1902.97119140625,1181.92822265625,1902.97119140625
37,"(0.7725490196078432, 0.5686274509803921, 0.0392156862745098)",1181.92822265625,1902.97119140625,1181.92822265625,1902.97119140625
38,"(0.1843137254901961, 0.9764705882352941, 0.5372549019607843)",1181.92822265625,1902.97119140625,1181.92822265625,1902.97119140625
39,"(0.984313725490196, 0.6980392156862745, 0.8313725490196079)",1181.92822265625,1902.97119140625,1181.92822265625,1902.97119140625
40,"(0.06666666666666667, 0.8823529411764706, 0.12549019607843137)",1181.92822265625,1902.97119140625,1181.92822265625,1902.97119140625
41,"(0.6941176470588235, 0.9450980392156862, 0.2980392156862745)",1181.92822265625,1902.97119140625,1181.92822265625,1902.97119140625
42,"(0.6588235294117647, 0.6392156862745098, 0.01568627450980392)",1181.92822265625,1902.97119140625,1181.92822265625,1902.97119140625
43,"(0.4745098039215686, 0.21176470588235294, 0.4745098039215686)",1301.4217529296875,3540.6943359375,1301.4217529296875,3540.6943359375
44,"(0.4627450980392157, 0.6666666666666666, 0.4470588235294118)",1301.4217529296875,3540.6943359375,1301.4217529296875,3540.6943359375
45,"(0.25098039215686274, 0.8431372549019608, 0.10588235294117647)",1301.4217529296875,3540.6943359375,1301.4217529296875,3540.6943359375
46,"(0.8980392156862745, 0.043137254901960784, 0.12941176470588237)",1301.4217529296875,3540.6943359375,1301.4217529296875,3540.6943359375
47,"(0.8509803921568627, 0.5490196078431373, 0.11764705882352941)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
48,"(0.8823529411764706, 0.4745098039215686, 0.3607843137254902)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
49,"(0.42745098039215684, 0.21568627450980393, 0.16470588235294117)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
50,"(0.4823529411764706, 0.5098039215686274, 0.592156862745098)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
51,"(0.27450980392156865, 0.596078431372549, 0.12941176470588237)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
52,"(0.44313725490196076, 0.44313725490196076, 0.8588235294117647)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
53,"(0.7294117647058823, 0.3333333333333333, 0.1450980392156863)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
54,"(0.8392156862745098, 0.984313725490196, 0.25098039215686274)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
55,"(0.6039215686274509, 0.5529411764705883, 0.8509803921568627)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
