id,color,x1,y1,x2,y2
0,"(0.3607843137254902, 1.0, 0.2)",180.5076446533203,1802.21435546875,180.5076446533203,1802.21435546875
1,"(0.4588235294117647, 0.29411764705882354, 0.20784313725490197)",472.0375671386719,1714.0986328125,472.0375671386719,1714.0986328125
2,"(0.06274509803921569, 0.16862745098039217, 0.19215686274509805)",717.8660278320312,3554.57421875,717.8660278320312,3554.57421875
3,"(0.7568627450980392, 0.8627450980392157, 0.5254901960784314)",717.8660278320312,3554.57421875,717.8660278320312,3554.57421875
4,"(0.7450980392156863, 0.9764705882352941, 0.788235294117647)",717.8660278320312,3554.57421875,717.8660278320312,3554.57421875
5,"(0.788235294117647, 0.4823529411764706, 0.8627450980392157)",717.8660278320312,3554.57421875,717.8660278320312,3554.57421875
6,"(0.5176470588235295, 0.25882352941176473, 0.28627450980392155)",717.8660278320312,3554.57421875,717.8660278320312,3554.57421875
7,"(0.6431372549019608, 0.9411764705882353, 0.12941176470588237)",717.8660278320312,3554.57421875,717.8660278320312,3554.57421875
8,"(0.3568627450980392, 0.45098039215686275, 0.3803921568627451)",717.8660278320312,3554.57421875,717.8660278320312,3554.57421875
9,"(0.7176470588235294, 0.27450980392156865, 0.596078431372549)",717.8660278320312,3554.57421875,717.8660278320312,3554.57421875
10,"(0.5450980392156862, 0.9568627450980393, 0.5333333333333333)",717.8660278320312,3554.57421875,717.8660278320312,3554.57421875
11,"(0.8549019607843137, 0.07058823529411765, 0.13725490196078433)",1025.4403076171875,3046.7958984375,1025.4403076171875,3046.7958984375
12,"(0.39215686274509803, 0.807843137254902, 0.3058823529411765)",1025.4403076171875,3046.7958984375,1025.4403076171875,3046.7958984375
13,"(0.9607843137254902, 0.7137254901960784, 0.7803921568627451)",1025.4403076171875,3046.7958984375,1025.4403076171875,3046.7958984375
14,"(0.3607843137254902, 0.49019607843137253, 0.4588235294117647)",1025.4403076171875,3046.7958984375,1025.4403076171875,3046.7958984375
15,"(0.7372549019607844, 0.9882352941176471, 0.13333333333333333)",1138.2493896484375,1871.4520263671875,1138.2493896484375,1871.4520263671875
