id,color,x1,y1,x2,y2
0,"(0.5764705882352941, 0.8313725490196079, 0.9176470588235294)",717.8660278320312,3554.57421875,2224.84716796875,2274.637939453125
1,"(0.4392156862745098, 0.5098039215686274, 0.17647058823529413)",717.8660278320312,3554.57421875,2224.84716796875,2274.637939453125
2,"(0.7372549019607844, 0.4588235294117647, 0.8196078431372549)",717.8660278320312,3554.57421875,2224.84716796875,2274.637939453125
3,"(0.34901960784313724, 0.0, 0.4549019607843137)",717.8660278320312,3554.57421875,2224.84716796875,2274.637939453125
4,"(0.8431372549019608, 0.4588235294117647, 0.33725490196078434)",1025.4403076171875,3046.7958984375,1907.909912109375,380.5369873046875
5,"(0.7725490196078432, 0.16862745098039217, 0.9568627450980393)",1025.4403076171875,3046.7958984375,1907.909912109375,380.5369873046875
6,"(0.8705882352941177, 0.2980392156862745, 0.3058823529411765)",1554.07568359375,1485.869384765625,2809.07568359375,1099.869384765625
7,"(0.3215686274509804, 0.1803921568627451, 0.4117647058823529)",1554.07568359375,1485.869384765625,2809.07568359375,1099.869384765625
8,"(0.6431372549019608, 0.6039215686274509, 1.0)",1554.07568359375,1485.869384765625,2809.07568359375,1099.869384765625
9,"(0.5803921568627451, 0.1803921568627451, 0.5372549019607843)",1554.07568359375,1485.869384765625,2809.07568359375,1099.869384765625
10,"(0.16470588235294117, 0.21176470588235294, 0.7058823529411765)",2063.29345703125,567.1250610351562,1392.5601806640625,3736.32763671875
11,"(0.9921568627450981, 0.7725490196078432, 0.0)",2720.327392578125,9.989537239074707,2840.177001953125,3230.53466796875
